"COD","year","pop"
"EC210254",2007,824.103295171223
"EC210254",2008,838.010826747482
"EC210254",2009,851.918358323741
"EC210254",2010,865.8258899
"EC210254",2011,879.851816163835
"EC210254",2012,893.877742427671
"EC210254",2013,907.903668691506
"EC210254",2014,921.929594955342
"EC210254",2015,935.955521219177
"EC210254",2016,949.800127878644
"EC210254",2017,963.64473453811
"EC210254",2018,977.489341197577
"EC210254",2019,991.333947857043
"EC210254",2020,1005.17855451651
"EC210350",2000,2396.96082608832
"EC210350",2001,2438.96845358756
"EC210350",2002,2480.97608108681
"EC210350",2003,2522.98370858605
"EC210350",2004,2564.9913360853
"EC210350",2005,2606.99896358454
"EC210350",2006,2652.52926666763
"EC210350",2007,2698.05956975072
"EC210350",2008,2743.58987283382
"EC210350",2009,2789.12017591691
"EC210350",2010,2834.650479
"EC210350",2011,2880.56775060636
"EC210350",2012,2926.48502221271
"EC210350",2013,2972.40229381907
"EC210350",2014,3018.31956542542
"EC210350",2015,3064.23683703178
"EC210350",2016,3109.55999843431
"EC210350",2017,3154.88315983684
"EC210350",2018,3200.20632123938
"EC210350",2019,3245.52948264191
"EC210350",2020,3290.85264404444
"EC210351",2000,3318.22474268078
"EC210351",2001,3376.3795351088
"EC210351",2002,3434.53432753682
"EC210351",2003,3492.68911996483
"EC210351",2004,3550.84391239285
"EC210351",2005,3608.99870482087
"EC210351",2006,3672.0314888567
"EC210351",2007,3735.06427289252
"EC210351",2008,3798.09705692835
"EC210351",2009,3861.12984096417
"EC210351",2010,3924.162625
"EC210351",2011,3987.73200660059
"EC210351",2012,4051.30138820119
"EC210351",2013,4114.87076980178
"EC210351",2014,4178.44015140238
"EC210351",2015,4242.00953300297
"EC210351",2016,4304.75712299943
"EC210351",2017,4367.50471299588
"EC210351",2018,4430.25230299234
"EC210351",2019,4492.99989298879
"EC210351",2020,4555.74748298525
"EC210352",2000,210.697999358177
"EC210352",2001,214.390666171908
"EC210352",2002,218.083332985639
"EC210352",2003,221.775999799371
"EC210352",2004,225.468666613102
"EC210352",2005,229.161333426833
"EC210352",2006,233.163739221466
"EC210352",2007,237.1661450161
"EC210352",2008,241.168550810733
"EC210352",2009,245.170956605367
"EC210352",2010,249.1733624
"EC210352",2011,253.209840492598
"EC210352",2012,257.246318585196
"EC210352",2013,261.282796677793
"EC210352",2014,265.319274770391
"EC210352",2015,269.355752862989
"EC210352",2016,273.340049651264
"EC210352",2017,277.32434643954
"EC210352",2018,281.308643227815
"EC210352",2019,285.292940016091
"EC210352",2020,289.277236804366
"EC210353",2000,351.45533824712
"EC210353",2001,357.480913652479
"EC210353",2002,363.506489057838
"EC210353",2003,369.532064463198
"EC210353",2004,375.557639868557
"EC210353",2005,381.583215273916
"EC210353",2006,388.096860859133
"EC210353",2007,394.61050644435
"EC210353",2008,401.124152029566
"EC210353",2009,407.637797614783
"EC210353",2010,414.1514432
"EC210353",2011,420.772883301825
"EC210353",2012,427.394323403649
"EC210353",2013,434.015763505474
"EC210353",2014,440.637203607298
"EC210353",2015,447.258643709123
"EC210353",2016,453.785941414535
"EC210353",2017,460.313239119947
"EC210353",2018,466.840536825358
"EC210353",2019,473.36783453077
"EC210353",2020,479.895132236182
"EC210354",2000,1814.58408695459
"EC210354",2001,1845.98894366026
"EC210354",2002,1877.39380036592
"EC210354",2003,1908.79865707159
"EC210354",2004,1940.20351377725
"EC210354",2005,1971.60837048292
"EC210354",2006,2005.35141698634
"EC210354",2007,2039.09446348975
"EC210354",2008,2072.83750999317
"EC210354",2009,2106.58055649658
"EC210354",2010,2140.323603
"EC210354",2011,2174.14630764385
"EC210354",2012,2207.96901228771
"EC210354",2013,2241.79171693156
"EC210354",2014,2275.61442157542
"EC210354",2015,2309.43712621927
"EC210354",2016,2342.65344014167
"EC210354",2017,2375.86975406408
"EC210354",2018,2409.08606798648
"EC210354",2019,2442.30238190889
"EC210354",2020,2475.51869583129
"EC210450",2000,23170.203625679
"EC210450",2001,23576.2817288399
"EC210450",2002,23982.3598320007
"EC210450",2003,24388.4379351616
"EC210450",2004,24794.5160383224
"EC210450",2005,25200.5941414833
"EC210450",2006,25640.7338351866
"EC210450",2007,26080.87352889
"EC210450",2008,26521.0132225933
"EC210450",2009,26961.1529162967
"EC210450",2010,27401.29261
"EC210450",2011,27845.1792225444
"EC210450",2012,28289.0658350887
"EC210450",2013,28732.9524476331
"EC210450",2014,29176.8390601774
"EC210450",2015,29620.7256727218
"EC210450",2016,30058.8739423751
"EC210450",2017,30497.0222120284
"EC210450",2018,30935.1704816818
"EC210450",2019,31373.3187513351
"EC210450",2020,31811.4670209884
"EC210451",2000,5635.96713796071
"EC210451",2001,5734.74239574968
"EC210451",2002,5833.51765353865
"EC210451",2003,5932.29291132763
"EC210451",2004,6031.0681691166
"EC210451",2005,6129.84342690557
"EC210451",2006,6236.90389612446
"EC210451",2007,6343.96436534334
"EC210451",2008,6451.02483456223
"EC210451",2009,6558.08530378111
"EC210451",2010,6665.145773
"EC210451",2011,6773.11765055948
"EC210451",2012,6881.08952811895
"EC210451",2013,6989.06140567843
"EC210451",2014,7097.0332832379
