FID,COD,X,Y
113,SR,325420.0000000,4115680.0000000
114,SR,590331.0000000,4007840.0000000
115,SR,566158.0000000,4251400.0000000
116,SR,578767.0000000,4245880.0000000
117,SR,573109.0000000,4249100.0000000
118,SR,559288.0000000,4253740.0000000
119,SR,559828.0000000,4264680.0000000
120,SR,559774.0000000,4246090.0000000
121,SR,560165.0000000,4258870.0000000
122,PE030101,-1343020.0000000,2076890.0000000
123,PE081002,-1234800.0000000,2045180.0000000
124,PE051102,-1444850.0000000,2048270.0000000
125,PE120202,-1625190.0000000,2243350.0000000
126,PE021902,-1900480.0000000,2629350.0000000
127,PE090201,-1528270.0000000,2153430.0000000
128,PE120702,-1659640.0000000,2309170.0000000
129,PE090102,-1613820.0000000,2158630.0000000
130,PE020402,-1873500.0000000,2542210.0000000
131,PE050102,-1466120.0000000,2104050.0000000
132,PE120402,-1646550.0000000,2274670.0000000
133,PE080201,-1215880.0000000,2057630.0000000
134,PE080202,-1197280.0000000,2041340.0000000
135,PE090103,-1557660.0000000,2176250.0000000
136,PE080203,-1221480.0000000,2051880.0000000
137,PE050103,-1471610.0000000,2123810.0000000
138,PE090702,-1579490.0000000,2195530.0000000
139,PE090703,-1572070.0000000,2198140.0000000
140,PE020302,-1828280.0000000,2533430.0000000
141,PE220302,-1827750.0000000,2815160.0000000
142,PE120902,-1618940.0000000,2229480.0000000
143,PE090704,-1568060.0000000,2193060.0000000
144,PE210302,-1063370.0000000,2036360.0000000
145,PE220902,-1779680.0000000,2824950.0000000
146,PE051002,-1482000.0000000,2061010.0000000
147,PE250305,-1623660.0000000,2599930.0000000
148,PE021903,-1885690.0000000,2612120.0000000
149,PE220502,-1840170.0000000,2860060.0000000
150,PE220202,-1767570.0000000,2698230.0000000
151,PE211209,-971696.0000000,2058630.0000000
152,PE160102,-1598930.0000000,3212400.0000000
153,PE080808,-1161930.0000000,1964430.0000000
154,PE220402,-1857340.0000000,2825570.0000000
155,PE160502,-1552350.0000000,2832770.0000000
156,PE100102,-1732680.0000000,2460990.0000000
157,PE100201,-1725260.0000000,2439040.0000000
158,PE080302,-1287440.0000000,2101550.0000000
159,PE050510,-1437580.0000000,2146630.0000000
160,PE090302,-1542170.0000000,2144730.0000000
161,PE050502,-1429210.0000000,2134960.0000000
162,PE090502,-1529900.0000000,2173910.0000000
163,PE030602,-1426970.0000000,2080040.0000000
164,PE090202,-1539320.0000000,2170970.0000000
165,PE030201,-1395420.0000000,2057110.0000000
166,PE081202,-1220790.0000000,2083390.0000000
167,PE120203,-1571280.0000000,2278400.0000000
168,PE030202,-1398220.0000000,2088010.0000000
169,PE090720,-1540990.0000000,2212400.0000000
170,PE160706,-1866060.0000000,3194640.0000000
171,PE050116,-1486420.0000000,2119360.0000000
172,PE060402,-2036590.0000000,2834020.0000000
173,PE021002,-1817820.0000000,2530920.0000000
174,PE080301,-1270280.0000000,2099920.0000000
175,PE090203,-1538530.0000000,2153130.0000000
176,PE030301,-1321860.0000000,1977100.0000000
177,PE101104,-1777010.0000000,2482780.0000000
178,PE120403,-1615240.0000000,2275810.0000000
179,PE051003,-1456600.0000000,2017380.0000000
180,PE010202,-2035680.0000000,2941290.0000000
181,PE100502,-1800900.0000000,2545860.0000000
182,PE090118,-1593070.0000000,2146450.0000000
183,PE051004,-1449330.0000000,2016810.0000000
184,PE010102,-1950240.0000000,2882740.0000000
185,PE120404,-1632310.0000000,2260940.0000000
186,PE050602,-1470470.0000000,2001160.0000000
187,PE220802,-1918430.0000000,2901770.0000000
188,PE200201,-2172880.0000000,3001730.0000000
189,PE050101,-1492030.0000000,2121110.0000000
190,PE050402,-1504120.0000000,2189220.0000000
191,PE210303,-1070310.0000000,2113240.0000000
192,PE050503,-1458590.0000000,2170880.0000000
193,PE010201,-2040940.0000000,2918250.0000000
194,PE010701,-2028590.0000000,2890930.0000000
195,PE220203,-1782520.0000000,2768440.0000000
196,PE160202,-1826790.0000000,2925670.0000000
197,PE010103,-1962110.0000000,2790320.0000000
198,PE060701,-2021340.0000000,2796050.0000000
199,PE130302,-1925150.0000000,2720790.0000000
200,PE101002,-1794220.0000000,2436380.0000000
201,PE160701,-1893170.0000000,2998090.0000000
202,PE220503,-1761070.0000000,2869230.0000000
203,PE050902,-1434470.0000000,2049440.0000000
204,PE160112,-1474700.0000000,3174200.0000000
205,PE060802,-2065470.0000000,2917040.0000000
206,PE220201,-1813050.0000000,2786820.0000000
