"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"COD1100601",1.5424,0,1.5424
"COD1100700",23.7712,0,23.7712
"COD1100809",0,0,0
"COD1100908",0,0,0
"COD1100924",23.0055,0,23.0055
"COD1100940",0,0,0
"COD1101005",66.7539,0,66.7539
"COD1101104",0,0,0
"COD1101203",0,0,0
"COD1101302",34.6971,0,34.6971
"COD1101401",5.3261,0,5.3261
"COD1101435",0,0,0
"COD1101450",6.9819,0,6.9819
"COD1101468",0.7023,0,0.7023
"COD1101476",0,0,0
"COD1101484",0,0,0
"COD1101492",36.388,0,36.388
"COD1101500",45.1416,0,45.1416
"COD1101559",0,0,0
"COD1101609",0,0,0
"COD1101708",0,0,0
"COD1101757",0,0,0
"COD1101807",0,0,0
"COD1200013",0,0,0
"COD1200054",46.7694,0.0337,46.7357
"COD1200104",0.0012,0,0.0012
"COD1200138",0,0,0
"COD1200179",0,0,0
"COD1200203",6.7304,0,6.7304
"COD1200252",0,0,0
"COD1200302",31.0445,0.0332,31.0113
"COD1200328",39.7988,0.1204,39.6784
"COD1200336",11.9933,1.5256,10.4677
"COD1200344",11.2181,0,11.2181
"COD1200351",17.943,0,17.943
"COD1200385",0,0,0
"COD1200393",13.223,0,13.223
"COD1200401",0,0,0
"COD1200427",0.6043,0.5303,0.074
"COD1200435",34.2563,0,34.2563
"COD1200450",0,0,0
"COD1200500",6.7179,0,6.7179
"COD1200609",14.301,0,14.301
"COD1200708",0,0,0
"COD1200807",0,0,0
"COD1300029",1.1421,0,1.1421
"COD1300060",42.7916,0,42.7916
"COD1300086",0.0718,0,0.0718
"COD1300102",8.8944,0,8.8944
"COD1300144",0.0018,0,0.0018
"COD1300201",84.5615,0.0835,84.478
"COD1300300",11.9207,0,11.9207
"COD1300409",19.6517,0.0653,19.5864
"COD1300508",28.0331,0,28.0331
"COD1300607",80.1937,0,80.1937
"COD1300631",8.1613,0,8.1613
"COD1300680",0,0,0
"COD1300706",9.7319,0,9.7319
